n_estimators_ee,max_depth,learning_rate,n_estimators_lgb,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
15,4,0.04021567532766908,100,0.6646864686468646,0.018833123311181914,0.7090909090909092,0.03667667120727739,0.7555143441071833,0.08000872496517444,True
15,3,0.02854887722092413,100,0.6594059405940593,0.019000646530887354,0.7272727272727273,0.03701927110346242,0.7492392703050489,0.0790166643145888,True
15,4,0.03145357653648529,100,0.661056105610561,0.019093793675205025,0.7272727272727273,0.037195707523919916,0.7509802437362805,0.07900111813692134,True
15,4,0.029801284967917025,100,0.6605610561056107,0.019067486306490373,0.7272727272727273,0.0371466078174412,0.750541215653622,0.07858372458881296,True
15,6,0.02961150830764214,100,0.6612211221122113,0.019098153191347094,0.7272727272727273,0.037204821066226954,0.7499053818787373,0.07852189232373982,True
15,5,0.029620061871317337,100,0.6613861386138614,0.019109032216586434,0.7272727272727273,0.03722538265460966,0.7497388539853153,0.07851268805594509,True
15,4,0.031241870643599512,100,0.6623762376237623,0.019168005852474208,0.7272727272727273,0.037337474544189765,0.7511013549314965,0.07850001904798629,True
15,4,0.030381356269909038,100,0.6612211221122112,0.01910837691099356,0.7272727272727273,0.03722351119530669,0.7504957989554161,0.07849418179139551,True
15,8,0.034921515610967915,100,0.6623762376237624,0.018692590359920686,0.7090909090909092,0.03640966930702126,0.7526682310196049,0.07833493424169827,True
15,4,0.030418928841768934,100,0.6605610561056106,0.0190649954455167,0.7272727272727273,0.03714151159012924,0.7503595488607979,0.078329247038702,True
15,4,0.03034944070102031,100,0.6597359735973598,0.019028807721681234,0.7272727272727273,0.03707280493154284,0.7501097570206646,0.0783064256874599,True
15,3,0.03135775732257745,100,0.660891089108911,0.01907679555064869,0.7272727272727273,0.037164210051796244,0.7514571190674438,0.07821061085512745,True
15,4,0.061000955731656197,50,0.661056105610561,0.019104106419895895,0.7272727272727273,0.03721551873858411,0.750541215653622,0.07819799958985636,True
15,4,0.06135538151639504,50,0.6600660066006602,0.019052586910812047,0.7272727272727273,0.03711728031864529,0.7503973961093028,0.0781354735561394,True
15,4,0.03033121997276854,100,0.6602310231023102,0.01905167852977848,0.7272727272727273,0.037116484165839306,0.7502838543637877,0.07811053578417866,True
