n_estimators_ee,n_estimators_ada,learning_rate_ada,max_depth_tree,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
5,75,0.01189569038813289,3,0.5597359735973597,0.015185915890924929,0.7454545454545455,0.029738799156298013,0.7477026720157445,0.07889702084885401,True
5,75,0.011827115095566927,3,0.5564356435643564,0.01605437796529768,0.8,0.031446593892342764,0.7493149648020588,0.07786248378448099,True
5,100,0.013159499577090106,3,0.566006600660066,0.016026993646393355,0.7818181818181819,0.03138537215891146,0.755143441071834,0.0742855029021183,True
5,100,0.013246187694853813,3,0.5666666666666667,0.016047234230211864,0.7818181818181819,0.03142416864216306,0.7563999697222012,0.07402783843743299,True
5,100,0.013216049281291633,3,0.568976897689769,0.016148920541934564,0.7818181818181819,0.03161783274001231,0.7548860797819998,0.0735548565553901,True
5,100,0.010214152056160752,3,0.5661716171617162,0.01572930662507208,0.7636363636363637,0.03079654259354968,0.7475891302702294,0.0732966448094671,True
5,100,0.01328933002160003,3,0.5660066006600661,0.016574175583905424,0.8,0.03244802518966542,0.756233441828779,0.0731913211497123,True
5,75,0.01569877713900836,3,0.5622112211221122,0.016794170261331287,0.8181818181818181,0.032881117907448174,0.756188025130573,0.0728815382150701,True
5,100,0.011084059766209584,3,0.5656765676567657,0.016031979873957075,0.7818181818181819,0.031392872985789674,0.7489289228673075,0.072767086200245,True
5,100,0.013290789553307857,3,0.5665016501650165,0.01660015629933355,0.8,0.03249713980717025,0.7559079554916357,0.0725084616121612,True
5,100,0.013258329185230075,3,0.5686468646864686,0.016688998785399086,0.8,0.03266725385297266,0.7569752478994778,0.0719396049967891,True
5,100,0.01091166711504311,3,0.5600660066006601,0.016150760905584732,0.8,0.0316345377541726,0.7501627431685717,0.07191943570534735,True
5,100,0.0127415898723147,3,0.5651815181518153,0.015442560349297363,0.7636363636363637,0.030251223923337334,0.755135871622133,0.07187403833564301,True
5,75,0.015871937198321792,3,0.5651815181518153,0.016578212351849385,0.8,0.032453088692208365,0.7549390659299069,0.07165345485927724,True
5,100,0.012855200489789439,3,0.5646864686468647,0.0159962293535515,0.7818181818181819,0.03132412747712301,0.7559230943910377,0.07164060768892908,True
5,100,0.012878105229127749,3,0.5646864686468647,0.015991580379100694,0.7818181818181819,0.0313155993091775,0.7548482325334949,0.07140702897108706,True
5,100,0.012408823330814943,3,0.5651815181518152,0.015995458449295823,0.7818181818181819,0.031324916066882404,0.753743092877148,0.07137227045978703,True
5,100,0.016429105992019525,3,0.5765676567656766,0.016736561434370918,0.8,0.03276449006290135,0.760669139353569,0.07136360665403803,True
5,100,0.0158831803265321,3,0.5726072607260726,0.016570081988520162,0.8,0.032446794153161804,0.7576943456210733,0.07133493846627333,True
5,75,0.015762799544111732,3,0.560891089108911,0.016749890841387793,0.8181818181818181,0.03279508139474753,0.7560366361365529,0.07114451236047062,True
5,100,0.014710333311255836,3,0.570957095709571,0.016515110394864745,0.8,0.0323397942871951,0.7564756642192112,0.07108504825295006,True
5,100,0.013839774061538154,3,0.5681518151815181,0.016418782441638784,0.8,0.032153127590829,0.757346150934827,0.0710445880306812,True
5,100,0.010088655978220382,3,0.5554455445544554,0.015983868270689976,0.8,0.0313150299819393,0.7497994095829232,0.07093507166976357,True
5,100,0.016135462834944877,3,0.5752475247524752,0.016665553424001483,0.8,0.032631436933861314,0.7600938611762926,0.07075359652372754,True
5,100,0.013797967854006369,3,0.5701320132013201,0.016493530967093085,0.8,0.03229578235993941,0.7556203164029975,0.07071359521377839,True
5,100,0.01240330026855203,3,0.5645214521452144,0.016522430746832607,0.8,0.032348896343554444,0.753970176368178,0.07062256356133279,True
5,100,0.012912505124895769,3,0.566006600660066,0.016050929062398557,0.7818181818181819,0.03142821745282048,0.7556808720006056,0.07061190852885307,True
5,100,0.015453818197163521,3,0.5737623762376238,0.016628255173896184,0.8,0.03255616345787585,0.7615471955188859,0.0704376450517408,True
5,100,0.013575205732191908,3,0.5699669966996699,0.01704121697665387,0.8181818181818181,0.03335988752232848,0.7566724699114374,0.07038933761454771,True
5,100,0.015461569961310803,3,0.5726072607260726,0.016575703428578347,0.8,0.03245681292702883,0.762750738021346,0.0702172619156363,True
5,100,0.015462176805321606,3,0.5727722772277228,0.016575674050205005,0.8,0.03245775483210504,0.7632124744531072,0.07018271180024188,True
5,100,0.01381027415409842,3,0.5701320132013201,0.01648169050592026,0.8,0.032274524538364255,0.756309136325789,0.0701535327139661,True
5,100,0.011194651935553156,3,0.5610561056105611,0.016168335143313062,0.8,0.031670712389292026,0.752789342214821,0.07010248493238116,True
5,100,0.013698603133252682,3,0.5716171617161716,0.016553168607340296,0.8,0.03240962432309895,0.7555370524562864,0.07005214442945759,True
5,100,0.014288909711168661,3,0.5684818481848184,0.016437285711744583,0.8,0.03218764513627418,0.7598819165846643,0.07004659315314728,True
5,100,0.012574668766249046,3,0.5646864686468647,0.01684716424127644,0.8181818181818181,0.032986424440498964,0.7533570509423966,0.06995731524584983,True
5,100,0.011550073721290213,3,0.562046204620462,0.016795050706977423,0.8181818181818181,0.032881635644847175,0.753947468019075,0.06974018270201912,True
5,100,0.012602876279168848,3,0.5663366336633663,0.01692220548405755,0.8181818181818181,0.03312917778170665,0.7541064264627961,0.06957558253380362,True
5,100,0.01332825163961277,3,0.5651815181518152,0.016554396744549546,0.8,0.03240964748892535,0.756218302929377,0.06954719167437033,True
5,100,0.013337893308024738,3,0.5658415841584159,0.016889452615469192,0.8181818181818181,0.033067449390841434,0.7583755960941639,0.06949231538126492,True
5,100,0.011119545914394425,3,0.5663366336633663,0.01662264738125699,0.8,0.03253821330585033,0.7510256604344864,0.06945252212163905,True
5,100,0.011290099844372934,3,0.5684818481848185,0.015223237585125771,0.7454545454545455,0.029816299936650296,0.7509651048368783,0.06944301177276727,True
5,100,0.015040872586698546,3,0.5712871287128712,0.016521244100560172,0.8,0.03235172615705358,0.7559685110892438,0.0693912720955061,True
5,100,0.012657012314399156,3,0.5661716171617162,0.01660087895226809,0.8,0.03249792501586271,0.7539020513208691,0.06937603035092824,True
5,100,0.014148578822207472,3,0.5669966996699671,0.01637882518909602,0.8,0.0320757789378356,0.7612898342290515,0.06935050266957439,True
5,100,0.013755425745390532,3,0.5665016501650164,0.016367338005701847,0.8,0.0320522690770742,0.7556203164029975,0.06908918014617332,True
5,100,0.010941104200800338,3,0.559075907590759,0.01612084577127602,0.8,0.031576115485984976,0.7501097570206646,0.06876651438180534,True
5,100,0.016836433465579455,3,0.5788778877887789,0.016807705124178007,0.8,0.03290370957701121,0.7579819847097117,0.06852792932038311,True
5,100,0.01193037043097589,3,0.5627062706270627,0.015929327966118366,0.7818181818181819,0.031195391621106267,0.7545530239951556,0.06842204646991465,True
5,100,0.014597193274214527,3,0.56996699669967,0.016473397735277527,0.8,0.03225979345310527,0.7563318446748921,0.06827199813442006,True
5,100,0.011723768936651481,3,0.5632013201320133,0.016276389070993005,0.8,0.03187489711870668,0.7576489289228674,0.06806089387281317,True
5,100,0.012133738551780796,3,0.5650165016501649,0.01601903915878231,0.7818181818181819,0.031366198375110045,0.7548785103322988,0.06801292697671074,True
5,100,0.017665573115730155,3,0.5778877887788779,0.01678075534552576,0.8,0.03285018197628535,0.7604496253122399,0.06796651327740666,True
5,100,0.01649874470537544,3,0.5745874587458746,0.016644581223755544,0.8,0.03259111173056976,0.7598289304367573,0.06794820245083541,True
5,100,0.016747323105261988,3,0.5788778877887788,0.01680029346162,0.8,0.03289097954204418,0.7582014987510408,0.06747137688173013,True
5,100,0.011972032957782658,3,0.5645214521452145,0.015997294913409607,0.7818181818181819,0.03132586254023747,0.7556051775035955,0.0671730767568381,True
5,100,0.010983877624708458,3,0.5693069306930693,0.015254292547731373,0.7454545454545455,0.02987477529040377,0.7490424646128228,0.06707590078710636,True
5,100,0.0107110491644418,3,0.5607260726072607,0.016763537196835893,0.8181818181818181,0.032820207878788914,0.7523730224812657,0.066383159517585,True
5,75,0.014894772739047123,3,0.5674917491749174,0.015784102154427743,0.7636363636363637,0.0309003511554575,0.7504352433578079,0.06634915354492785,True
