n_estimators_ee,depth,learning_rate,iterations,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
15,8,0.02619812746430891,100,0.5722772277227722,0.017040483295801736,0.8181818181818181,0.03338234778363546,0.7446067670880326,0.0657072419021615,True
15,8,0.039255603307480715,100,0.5775577557755776,0.01762611371540714,0.8363636363636363,0.03452110894075337,0.7469835742941487,0.05878511249758099,True
15,8,0.029004950028230267,100,0.5727722772277228,0.017051557593225176,0.8181818181818181,0.03340374044118707,0.7444705169934146,0.05685962963594202,True
15,8,0.029227821385345052,100,0.5717821782178218,0.01701604271961665,0.8181818181818181,0.03333542379638048,0.7445007947922185,0.05642084050437428,True
5,6,0.06183033076191779,100,0.5920792079207919,0.018232933002721226,0.8363636363636363,0.03568469813734371,0.7568238589054574,0.053445262453654975,True
15,9,0.024871877896515373,100,0.5674917491749174,0.016827393600744735,0.8181818181818181,0.032973374335632286,0.7430020437514193,0.05314887601644182,True
15,9,0.024877263369651095,100,0.5674917491749174,0.016827393600744735,0.8181818181818181,0.032973374335632286,0.7430020437514193,0.05314887601644182,True
15,9,0.025246474254374776,100,0.5684818481848184,0.017264477801919385,0.8363636363636363,0.03382698446182157,0.7422450987813185,0.05312445824369329,True
15,9,0.02460682514072533,100,0.5673267326732673,0.016824170382584148,0.8181818181818181,0.03296739548096705,0.7426235712663689,0.053109382958329676,True
15,9,0.024762334136815507,100,0.5673267326732673,0.01681990414569333,0.8181818181818181,0.032959092858242625,0.742623571266369,0.053084879814761975,True
5,4,0.0853198489792367,100,0.6165016501650166,0.019469453534822007,0.8363636363636363,0.03805175975198143,0.7660888653394899,0.0523159538233736,True
15,9,0.025638130341342213,100,0.5683168316831684,0.016849719867596508,0.8181818181818181,0.03301597338088809,0.7420634319884944,0.051748309841450804,True
15,9,0.025035713305415812,100,0.5676567656765676,0.017235605717282047,0.8363636363636363,0.033771797755190805,0.7429414881538111,0.05169553044000989,True
15,9,0.025833405236816084,100,0.5686468646864686,0.017269832401118936,0.8363636363636363,0.03383736984931725,0.7420180152902884,0.05164548577744723,True
15,9,0.025137862432666278,100,0.5684818481848184,0.017267661371764057,0.8363636363636363,0.03383310734101534,0.7423056543789266,0.05163107025846013,True
10,9,0.17524101118128144,150,0.6148514851485147,0.01938587677397054,0.8363636363636363,0.03788893847834653,0.7724472030883355,0.05084605114372347,True
15,9,0.026763047001440127,100,0.567986798679868,0.017247105369626918,0.8363636363636363,0.03379393822016583,0.7420180152902882,0.05071518003118182,True
5,8,0.040300577988849624,100,0.565016501650165,0.01711103321116204,0.8363636363636363,0.0335321517801375,0.7362803724169253,0.05051802494035259,True
5,8,0.04031861939223834,100,0.5658415841584159,0.017142084290187036,0.8363636363636363,0.03359191464110518,0.7365831504049656,0.050517221635169474,True
5,8,0.039230567461963566,100,0.5645214521452145,0.01708884908669253,0.8363636363636363,0.033489839500269396,0.7367496782983878,0.050433678244685975,True
5,8,0.03994132374039807,100,0.5635313531353134,0.017058704640185076,0.8363636363636363,0.03343177199251624,0.7369767617894178,0.05040860077576202,True
5,8,0.039950921433934035,100,0.5635313531353134,0.017058704640185076,0.8363636363636363,0.03343177199251624,0.73714328968284,0.05040638779263999,True
5,8,0.039937911882142615,100,0.5632013201320132,0.017042768385204996,0.8363636363636363,0.033401254297975476,0.7369162061918099,0.05038768872950535,True
5,8,0.03952719121153058,100,0.5648514851485148,0.017103093004192632,0.8363636363636363,0.03351717430082941,0.7369464839906139,0.050357749058937105,True
5,8,0.03964031405206084,100,0.5645214521452144,0.017091619059328402,0.8363636363636363,0.03349516397206775,0.736961622890016,0.050348541342366514,True
5,8,0.040459026660293246,100,0.5648514851485148,0.01710646600542327,0.8363636363636363,0.033523872105807186,0.7362198168193173,0.050249390569719166,True
5,8,0.04634680972422323,100,0.5663366336633665,0.017176445006944714,0.8363636363636363,0.03365865685213197,0.7375066232684884,0.050244276762559395,True
5,8,0.04041428478618227,100,0.5648514851485148,0.017107167164493196,0.8363636363636363,0.03352507685881558,0.7360987056241012,0.050218986886891505,True
5,5,0.1049185038594407,200,0.6321782178217822,0.019387659803539663,0.8,0.03785508224532961,0.7787752630383771,0.049840101500100126,True
5,5,0.0650206551919791,200,0.6313531353135314,0.01935224909021254,0.8,0.03778931836428815,0.7811520702444932,0.049501373621282194,True
5,5,0.05072855529578384,200,0.6310231023102311,0.01975043463774903,0.8181818181818181,0.03856731613368976,0.7755052607675423,0.04920888892565861,True
5,6,0.06425072613788156,100,0.5915841584158417,0.017797714053049134,0.8181818181818181,0.034834791190888933,0.7596094163954279,0.04916579438756625,True
5,6,0.06468000981114845,100,0.592079207920792,0.01823740779284767,0.8363636363636363,0.03569374555097878,0.7589735826205434,0.04891102809839911,True
5,5,0.031176549958646396,200,0.6239273927392739,0.020299349330955056,0.8545454545454545,0.039655001987577536,0.7810612368480812,0.04837587006457504,True
5,7,0.06142901390465575,100,0.5808580858085809,0.0181354299292372,0.8545454545454545,0.03551418708948639,0.7532208008477783,0.04821817572765691,True
5,6,0.07490564742059144,200,0.6260726072607261,0.019536530014059014,0.8181818181818181,0.03815978859997616,0.7739913708273408,0.048186415703122376,True
5,7,0.06152267625384074,100,0.5815181518151815,0.01816115600091203,0.8545454545454545,0.03556364880500627,0.7535084399364166,0.0481740990598586,True
5,5,0.062297426427047484,200,0.6320132013201321,0.019383298669933696,0.8,0.03784793022344328,0.778760124138975,0.04805478562520303,True
5,5,0.06699448442809001,200,0.633993399339934,0.019488521951085823,0.8,0.03804806264161266,0.7741578987207631,0.04794856351362432,True
5,5,0.08107987626062715,200,0.633003300330033,0.019423198342409104,0.8,0.03792326375720863,0.771856786011657,0.047936327708784456,True
5,6,0.0656140817733336,100,0.5922442244224422,0.0182369402570499,0.8363636363636363,0.03569343011606787,0.7591401105139657,0.04790975075299368,True
5,8,0.03194968600944846,100,0.5612211221122112,0.016974753862489277,0.8363636363636363,0.0332708640607647,0.7352357883581864,0.04759557624703708,True
5,5,0.0583668773847974,200,0.6275577557755775,0.019151747270092383,0.8,0.03740592285015937,0.7740973431231549,0.047487287153963005,True
