n_estimators_ee,max_depth,learning_rate,n_estimators_xgb,Accuracy,Precision,Recall,F1-Score,ROC-AUC,PR-AUC,constraint_met
20,7,0.01935747042271848,100,0.6363036303630363,0.01964590908889597,0.8,0.03834056183759414,0.7777609567784421,0.08336625498742231,True
20,7,0.017444500987196895,100,0.638118811881188,0.019741661670176987,0.8,0.03852274640833075,0.7760956778442207,0.08330925186049894,True
20,7,0.01831421308002276,100,0.6386138613861386,0.01976304931454903,0.8,0.03856372209834667,0.7765801226250851,0.08330668575945081,True
20,7,0.01924787601061077,100,0.6367986798679868,0.019672548880765268,0.8,0.03839127332459534,0.7771856786011657,0.08330607900410396,True
20,7,0.01878547939536497,100,0.6382838283828383,0.019752247997292548,0.8,0.038542880205132114,0.7766406782226932,0.08329410646166349,True
20,7,0.019122666613930677,100,0.6377887788778878,0.019721711555078795,0.8,0.038484926319378596,0.7767769283173114,0.08322625704277595,True
20,7,0.01851089529203803,100,0.6377887788778878,0.019725370182054412,0.8,0.0384914229736702,0.7766558171220951,0.08322477295977573,True
20,8,0.018068354159702496,100,0.6382838283828384,0.01974627566232464,0.8,0.038531856465211796,0.776428733631065,0.08313559647210593,True
20,7,0.01916541158147559,100,0.6363036303630363,0.01964684032031063,0.8,0.03834228988450868,0.776383316932859,0.08309041592780567,True
15,7,0.03737258549931518,100,0.6382838283828383,0.020236054227920228,0.8181818181818181,0.03948483988968255,0.7856180455680872,0.08209912427201689,True
15,7,0.03899215505570866,100,0.6389438943894389,0.02026598833321176,0.8181818181818181,0.03954216134547355,0.7860116569525395,0.08190185920685482,True
15,7,0.038014306964830075,100,0.6391089108910891,0.02027670191363644,0.8181818181818181,0.03956277682980745,0.7851638785860269,0.08150373062515466,True
15,7,0.03686464070212305,100,0.6394389438943894,0.020291501961026123,0.8181818181818181,0.03959063170629277,0.7861024903489516,0.07904861951387043,True
20,6,0.0173808875528902,100,0.6400990099009901,0.01984310797582237,0.8,0.03871598435625269,0.7757172053591705,0.07736136238809546,True
20,7,0.019264493453457907,100,0.6364686468646865,0.01965725646509952,0.8,0.038362263838685275,0.7773219286957838,0.0772382658820453,True
20,7,0.018527506849014184,100,0.6379537953795379,0.019728954635104934,0.8,0.03849883491439253,0.7769737340095375,0.07720421999793554,True
20,6,0.03495054141571857,50,0.6386138613861385,0.019760856709996066,0.8,0.03855999674132568,0.7755355385663462,0.07713259688046362,True
20,7,0.018379715807207438,100,0.637953795379538,0.01973547792994595,0.8,0.038510669625907976,0.776383316932859,0.07707158825373639,True
20,7,0.01194436428330729,150,0.6376237623762375,0.019717109219637798,0.8,0.038475882556192775,0.7761108167436227,0.07698129354521997,True
